,index,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Source,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Category_0,Item_Category_1,Item_Category_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
8523,0,FDW58,107.8622,1542.279094,Snack Foods,107.8622,20.75,1999,OUT049,test,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8524,1,FDW14,87.3198,1412.1562050420168,Dairy,87.3198,8.3,2007,OUT017,test,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8525,2,NCN55,241.7538,584.7577647727275,Others,241.7538,14.6,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8526,3,FDQ58,155.034,2222.671282258065,Snack Foods,155.034,7.315,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8527,4,FDY38,234.23,6280.89088,Dairy,234.23,12.792854228644991,1985,OUT027,test,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8528,5,FDH56,117.1492,1922.149381714286,Fruits and Vegetables,117.1492,9.8,1997,OUT046,test,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8529,6,FDL48,50.1034,699.7819098039218,Baking Goods,50.1034,19.35,2009,OUT018,test,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8530,7,FDC48,81.0592,2517.882088484848,Baking Goods,81.0592,12.792854228644991,1985,OUT027,test,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8531,8,FDN33,95.7436,1559.3429752688166,Snack Foods,95.7436,6.305,2002,OUT045,test,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8532,9,FDA36,186.8924,2890.9915358490566,Baking Goods,186.8924,5.985,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8533,10,FDT44,118.3466,1922.149381714286,Fruits and Vegetables,118.3466,16.6,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8534,11,FDQ56,85.3908,1412.1562050420168,Fruits and Vegetables,85.3908,6.59,2002,OUT045,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8535,12,NCC54,240.4196,584.7577647727275,Health and Hygiene,240.4196,12.792854228644991,1985,OUT019,test,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8536,13,FDU11,122.3098,2001.554929113923,Breads,122.3098,4.785,1999,OUT049,test,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8537,14,DRL59,52.0298,699.7819098039218,Hard Drinks,52.0298,16.75,1987,OUT013,test,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8538,15,FDM24,151.6366,2490.5268867052027,Baking Goods,151.6366,6.135,1999,OUT049,test,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8539,16,FDI57,198.7768,2880.9695613636377,Seafood,198.7768,19.85,2002,OUT045,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8540,17,DRC12,192.2188,2880.9695613636377,Soft Drinks,192.2188,17.85,2009,OUT018,test,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8541,18,NCM42,109.6912,3242.0620715328487,Household,109.6912,12.792854228644991,1985,OUT027,test,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8542,19,FDA46,193.7136,482.69954262295056,Snack Foods,193.7136,13.6,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8543,20,FDA31,175.00799999999998,2588.5638200000017,Fruits and Vegetables,175.00799999999998,7.1,1987,OUT013,test,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8544,21,NCJ31,239.9196,4199.544979310345,Others,239.9196,19.2,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8545,22,FDG52,47.7402,699.7819098039218,Frozen Foods,47.7402,13.65,1997,OUT046,test,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8546,23,NCL19,142.347,281.4820818181818,Others,142.347,12.792854228644991,1985,OUT019,test,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8547,24,FDS10,180.7318,2880.9695613636377,Snack Foods,180.7318,19.2,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8548,25,FDX22,209.4928,584.7577647727275,Snack Foods,209.4928,6.785,1998,OUT010,test,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8549,26,NCF19,47.6034,699.7819098039218,Household,47.6034,13.0,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8550,27,NCE06,161.3894,2222.671282258065,Household,161.3894,5.825,1997,OUT046,test,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8551,28,DRC27,244.6802,4199.544979310345,Dairy,244.6802,13.8,1997,OUT046,test,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8552,29,FDE21,116.5492,1922.149381714286,Fruits and Vegetables,116.5492,12.8,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8553,30,NCR42,32.09,92.67548155339807,Household,32.09,12.792854228644991,1985,OUT019,test,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8554,31,FDX51,194.9452,2890.9915358490566,Meat,194.9452,9.5,2009,OUT018,test,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8555,32,NCR06,42.4112,507.04640366972484,Household,42.4112,12.5,2009,OUT018,test,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8556,33,FDU31,217.7508,5329.314724444443,Fruits and Vegetables,217.7508,12.792854228644991,1985,OUT027,test,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8557,34,FDU59,164.2552,2611.4595423423425,Breads,164.2552,5.78,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8558,35,FDR03,205.09799999999998,5329.314724444443,Meat,205.09799999999998,12.792854228644991,1985,OUT027,test,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8559,36,FDS49,80.3644,2517.882088484848,Canned,80.3644,12.792854228644991,1985,OUT027,test,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8560,37,FDD48,114.0176,281.4820818181818,Baking Goods,114.0176,10.395,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8561,38,NCF18,192.1504,2880.9695613636377,Household,192.1504,18.35,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8562,39,NCD43,103.3964,2517.882088484848,Household,103.3964,12.792854228644991,1985,OUT027,test,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8563,40,NCD54,143.3786,1752.2524399999998,Household,143.3786,21.1,2009,OUT018,test,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8564,41,FDY19,116.6466,281.4820818181818,Fruits and Vegetables,116.6466,19.75,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8565,42,NCY54,173.9422,2588.5638200000017,Household,173.9422,8.43,2007,OUT017,test,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8566,43,NCL19,144.847,2232.84702184874,Others,144.847,15.35,2009,OUT018,test,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8567,44,FDP23,217.2166,584.7577647727275,Breads,217.2166,6.71,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8568,45,FDC26,112.1886,1542.279094,Canned,112.1886,10.195,1987,OUT013,test,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8569,46,FDR14,55.8298,165.91858165137612,Dairy,55.8298,11.65,1998,OUT010,test,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8570,47,NCS41,183.2608,3389.226979354838,Health and Hygiene,183.2608,12.85,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8571,48,FDF41,248.146,4199.544979310345,Frozen Foods,248.146,12.15,2004,OUT035,test,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
